Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
1999;Apolidi;Duomo (1);5
1999;Apolidi;Brera (2);1
1999;Apolidi;Guastalla (4);2
1999;Apolidi;Porta Vigentina - Porta Lodovica (5);1
1999;Apolidi;Porta Ticinese - Conca del Naviglio (6);2
1999;Apolidi;Porta Garibaldi - Porta Nuova (9);1
1999;Apolidi;Stazione Centrale - Ponte Seveso (10);1
1999;Apolidi;Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);1
1999;Apolidi;Loreto - Casoretto - NoLo (20);1
1999;Apolidi;Buenos Aires - Porta Venezia - Porta Monforte (21);8
1999;Apolidi;Citta' studi (22);1
1999;Apolidi;XXII Marzo (26);2
1999;Apolidi;Giambellino (49);1
1999;Apolidi;Porta Magenta (51);2
1999;Apolidi;Forze Armate (56);1
1999;Apolidi;San Siro (57);1
1999;Apolidi;Pagano (68);1
1999;Apolidi;Sarpi (69);4
1999;Apolidi;Quarto Oggiaro - Vialba - Musocco (76);1
1999;Apolidi;Bovisasca (81);1
2000;n.d.;Brera (2);2
2000;n.d.;Buenos Aires - Porta Venezia - Porta Monforte (21);1
2000;Europa (Italia esclusa);Duomo (1);876
2000;Europa (Italia esclusa);Brera (2);913
2000;Europa (Italia esclusa);Giardini P.ta Venezia (3);6
2000;Europa (Italia esclusa);Guastalla (4);664
2000;Europa (Italia esclusa);Porta Vigentina - Porta Lodovica (5);360
2000;Europa (Italia esclusa);Porta Ticinese - Conca del Naviglio (6);549
2000;Europa (Italia esclusa);Magenta - S.Vittore (7);774
2000;Europa (Italia esclusa);Porta Garibaldi - Porta Nuova (9);175
2000;Europa (Italia esclusa);Stazione Centrale - Ponte Seveso (10);732
2000;Europa (Italia esclusa);Isola (11);448
2000;Europa (Italia esclusa);Maciachini - Maggiolina (12);621
2000;Europa (Italia esclusa);Greco - Segnano (13);217
2000;Europa (Italia esclusa);Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);231
2000;Europa (Italia esclusa);Bicocca (15);62
2000;Europa (Italia esclusa);Gorla - Precotto (16);337
2000;Europa (Italia esclusa);Adriano (17);144
2000;Europa (Italia esclusa);Cimiano - Rottole - Q.re Feltre (18);286
2000;Europa (Italia esclusa);Padova - Turro - Crescenzago (19);581
2000;Europa (Italia esclusa);Loreto - Casoretto - NoLo (20);1091
2000;Europa (Italia esclusa);Buenos Aires - Porta Venezia - Porta Monforte (21);2018
2000;Europa (Italia esclusa);Citta' studi (22);1058
2000;Europa (Italia esclusa);Lambrate - Ortica (23);130
2000;Europa (Italia esclusa);Parco Forlanini - Cavriano (24);12
2000;Europa (Italia esclusa);Corsica (25);466
2000;Europa (Italia esclusa);XXII Marzo (26);835
2000;Europa (Italia esclusa);Pta Romana (27);441
2000;Europa (Italia esclusa);Umbria - Molise - Calvairate (28);329
2000;Europa (Italia esclusa);Ortomercato (29);55
2000;Europa (Italia esclusa);Taliedo - Morsenchio - Q.re Forlanini (30);154
2000;Europa (Italia esclusa);Monlue' - Ponte Lambro (31);52
2000;Europa (Italia esclusa);Triulzo Superiore (32);42
2000;Europa (Italia esclusa);Rogoredo - Santa Giulia (33);61
2000;Europa (Italia esclusa);Chiaravalle (34);4
2000;Europa (Italia esclusa);Lodi - Corvetto (35);481
2000;Europa (Italia esclusa);Scalo Romana (36);183
2000;Europa (Italia esclusa);Morivione (37);50
2000;Europa (Italia esclusa);Vigentino - Q.re Fatima (38);165
2000;Europa (Italia esclusa);Quintosole (39);7
2000;Europa (Italia esclusa);Ronchetto delle Rane (40);1
2000;Europa (Italia esclusa);Gratosoglio - Q.re Missaglia - Q.re Terrazze (41);75
2000;Europa (Italia esclusa);Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42);311
2000;Europa (Italia esclusa);Tibaldi (43);169
2000;Europa (Italia esclusa);Porta Ticinese - Conchetta (44);420
2000;Europa (Italia esclusa);Moncucco - San Cristoforo (45);198
2000;Europa (Italia esclusa);Barona (46);67
2000;Europa (Italia esclusa);Cantalupa (47);3
2000;Europa (Italia esclusa);Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);159
2000;Europa (Italia esclusa);Giambellino (49);404
2000;Europa (Italia esclusa);Porta Genova (50);362
2000;Europa (Italia esclusa);Porta Magenta (51);808
2000;Europa (Italia esclusa);Bande Nere (52);731
2000;Europa (Italia esclusa);Lorenteggio (53);115
2000;Europa (Italia esclusa);Muggiano (54);8
2000;Europa (Italia esclusa);Baggio - Q.re degli Olmi - Q.re Valsesia (55);179
2000;Europa (Italia esclusa);Forze Armate (56);241
2000;Europa (Italia esclusa);San Siro (57);546
2000;Europa (Italia esclusa);De Angeli - Monte Rosa (58);786
2000;Europa (Italia esclusa);Tre Torri (59);76
2000;Europa (Italia esclusa);Stadio - Ippodromi (60);903
2000;Europa (Italia esclusa);Quarto Cagnino (61);41
2000;Europa (Italia esclusa);Quinto Romano (62);42
2000;Europa (Italia esclusa);Figino (63);12
2000;Europa (Italia esclusa);Trenno (64);14
2000;Europa (Italia esclusa);Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);273
2000;Europa (Italia esclusa);QT 8 (66);79
2000;Europa (Italia esclusa);Portello (67);206
2000;Europa (Italia esclusa);Pagano (68);652
2000;Europa (Italia esclusa);Sarpi (69);833
2000;Europa (Italia esclusa);Ghisolfa (70);345
2000;Europa (Italia esclusa);Villapizzone - Cagnola - Boldinasco (71);514
2000;Europa (Italia esclusa);Maggiore - Musocco - Certosa (72);46
2000;Europa (Italia esclusa);Roserio (74);4
