"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"1999";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"Africa";260
"1999";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"America";41
"1999";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Europa (Italia esclusa)";270
"1999";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Asia";581
"1999";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Africa";645
"1999";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"America";290
"1999";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";"Oceania";2
"1999";"Tibaldi (43)";"Europa (Italia esclusa)";150
"1999";"Tibaldi (43)";"Asia";376
"1999";"Tibaldi (43)";"Africa";420
"1999";"Tibaldi (43)";"America";145
"1999";"Tibaldi (43)";"Oceania";5
"1999";"Porta Ticinese - Conchetta (44)";"Europa (Italia esclusa)";389
"1999";"Porta Ticinese - Conchetta (44)";"Asia";564
"1999";"Porta Ticinese - Conchetta (44)";"Africa";384
"1999";"Porta Ticinese - Conchetta (44)";"America";226
"1999";"Porta Ticinese - Conchetta (44)";"Oceania";6
"1999";"Moncucco - San Cristoforo (45)";"Europa (Italia esclusa)";172
"1999";"Moncucco - San Cristoforo (45)";"Asia";235
"1999";"Moncucco - San Cristoforo (45)";"Africa";308
"1999";"Moncucco - San Cristoforo (45)";"America";126
"1999";"Barona (46)";"Europa (Italia esclusa)";62
"1999";"Barona (46)";"Asia";29
"1999";"Barona (46)";"Africa";290
"1999";"Barona (46)";"America";50
"1999";"Cantalupa (47)";"Europa (Italia esclusa)";3
"1999";"Cantalupa (47)";"Asia";19
"1999";"Cantalupa (47)";"Africa";9
"1999";"Cantalupa (47)";"America";3
"1999";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Europa (Italia esclusa)";148
"1999";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Asia";116
"1999";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"Africa";182
"1999";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";"America";140
