"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Danimarca";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Danimarca";"Porta Ticinese - Conchetta (44)";11
"Danimarca";"Moncucco - San Cristoforo (45)";2
"Danimarca";"Giambellino (49)";2
"Danimarca";"Porta Genova (50)";4
"Danimarca";"Porta Magenta (51)";10
"Danimarca";"Bande Nere (52)";2
"Danimarca";"Lorenteggio (53)";1
"Danimarca";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3
"Danimarca";"San Siro (57)";2
"Danimarca";"De Angeli - Monte Rosa (58)";2
"Danimarca";"Tre Torri (59)";3
"Danimarca";"Stadio - Ippodromi (60)";5
"Danimarca";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Danimarca";"Portello (67)";1
"Danimarca";"Pagano (68)";12
"Danimarca";"Sarpi (69)";9
"Danimarca";"Ghisolfa (70)";3
"Danimarca";"Villapizzone - Cagnola - Boldinasco (71)";4
"Danimarca";"Farini (78)";1
"Danimarca";"Affori (80)";2
"Finlandia";"Duomo (1)";10
"Finlandia";"Brera (2)";6
"Finlandia";"Guastalla (4)";4
"Finlandia";"Porta Vigentina - Porta Lodovica (5)";3
"Finlandia";"Porta Ticinese - Conca del Naviglio (6)";4
"Finlandia";"Magenta - S.Vittore (7)";5
"Finlandia";"Porta Garibaldi - Porta Nuova (9)";2
"Finlandia";"Stazione Centrale - Ponte Seveso (10)";7
"Finlandia";"Isola (11)";3
"Finlandia";"Maciachini - Maggiolina (12)";5
"Finlandia";"Greco - Segnano (13)";4
"Finlandia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Finlandia";"Bicocca (15)";1
"Finlandia";"Adriano (17)";1
"Finlandia";"Padova - Turro - Crescenzago (19)";2
"Finlandia";"Loreto - Casoretto - NoLo (20)";4
"Finlandia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";11
"Finlandia";"Citta' studi (22)";8
"Finlandia";"Lambrate - Ortica (23)";1
"Finlandia";"Corsica (25)";4
"Finlandia";"XXII Marzo (26)";5
"Finlandia";"Pta Romana (27)";1
"Finlandia";"Umbria - Molise - Calvairate (28)";1
"Finlandia";"Ortomercato (29)";1
"Finlandia";"Lodi - Corvetto (35)";5
"Finlandia";"Scalo Romana (36)";1
"Finlandia";"Morivione (37)";1
"Finlandia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Finlandia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Finlandia";"Tibaldi (43)";3
"Finlandia";"Porta Ticinese - Conchetta (44)";4
"Finlandia";"Moncucco - San Cristoforo (45)";1
"Finlandia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Finlandia";"Giambellino (49)";2
"Finlandia";"Porta Genova (50)";5
"Finlandia";"Porta Magenta (51)";3
"Finlandia";"Bande Nere (52)";1
"Finlandia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Finlandia";"San Siro (57)";2
"Finlandia";"De Angeli - Monte Rosa (58)";1
"Finlandia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
