"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Dominicana, Repubblica";"Maggiore - Musocco - Certosa (72)";6
"Dominicana, Repubblica";"Cascina Merlata (73)";4
"Dominicana, Repubblica";"Quarto Oggiaro - Vialba - Musocco (76)";28
"Dominicana, Repubblica";"Bovisa (77)";17
"Dominicana, Repubblica";"Farini (78)";2
"Dominicana, Repubblica";"Dergano (79)";15
"Dominicana, Repubblica";"Affori (80)";10
"Dominicana, Repubblica";"Bovisasca (81)";2
"Dominicana, Repubblica";"Comasina (82)";8
"Dominicana, Repubblica";"Bruzzano (83)";22
"El Salvador";"Duomo (1)";21
"El Salvador";"Brera (2)";50
"El Salvador";"Guastalla (4)";34
"El Salvador";"Porta Vigentina - Porta Lodovica (5)";29
"El Salvador";"Porta Ticinese - Conca del Naviglio (6)";52
"El Salvador";"Magenta - S.Vittore (7)";30
"El Salvador";"Porta Garibaldi - Porta Nuova (9)";14
"El Salvador";"Stazione Centrale - Ponte Seveso (10)";53
"El Salvador";"Isola (11)";48
"El Salvador";"Maciachini - Maggiolina (12)";109
"El Salvador";"Greco - Segnano (13)";115
"El Salvador";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";157
"El Salvador";"Bicocca (15)";27
"El Salvador";"Gorla - Precotto (16)";177
"El Salvador";"Adriano (17)";83
"El Salvador";"Cimiano - Rottole - Q.re Feltre (18)";102
"El Salvador";"Padova - Turro - Crescenzago (19)";281
"El Salvador";"Loreto - Casoretto - NoLo (20)";191
"El Salvador";"Buenos Aires - Porta Venezia - Porta Monforte (21)";114
"El Salvador";"Citta' studi (22)";132
"El Salvador";"Lambrate - Ortica (23)";66
"El Salvador";"Parco Forlanini - Cavriano (24)";7
"El Salvador";"Corsica (25)";45
"El Salvador";"XXII Marzo (26)";31
"El Salvador";"Pta Romana (27)";27
"El Salvador";"Umbria - Molise - Calvairate (28)";102
"El Salvador";"Ortomercato (29)";52
"El Salvador";"Taliedo - Morsenchio - Q.re Forlanini (30)";114
"El Salvador";"Monlue' - Ponte Lambro (31)";175
"El Salvador";"Triulzo Superiore (32)";29
"El Salvador";"Rogoredo - Santa Giulia (33)";144
"El Salvador";"Lodi - Corvetto (35)";212
"El Salvador";"Scalo Romana (36)";65
"El Salvador";"Morivione (37)";37
"El Salvador";"Vigentino - Q.re Fatima (38)";22
"El Salvador";"Quintosole (39)";4
"El Salvador";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";97
"El Salvador";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";132
"El Salvador";"Tibaldi (43)";35
"El Salvador";"Porta Ticinese - Conchetta (44)";36
"El Salvador";"Moncucco - San Cristoforo (45)";62
"El Salvador";"Barona (46)";54
"El Salvador";"Cantalupa (47)";7
"El Salvador";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";69
"El Salvador";"Giambellino (49)";199
"El Salvador";"Porta Genova (50)";18
"El Salvador";"Porta Magenta (51)";43
"El Salvador";"Bande Nere (52)";164
"El Salvador";"Lorenteggio (53)";38
"El Salvador";"Muggiano (54)";15
"El Salvador";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";281
"El Salvador";"Forze Armate (56)";178
"El Salvador";"San Siro (57)";117
"El Salvador";"De Angeli - Monte Rosa (58)";48
"El Salvador";"Stadio - Ippodromi (60)";25
"El Salvador";"Quarto Cagnino (61)";19
"El Salvador";"Quinto Romano (62)";17
"El Salvador";"Figino (63)";32
"El Salvador";"Trenno (64)";30
"El Salvador";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";128
"El Salvador";"QT 8 (66)";9
"El Salvador";"Portello (67)";7
"El Salvador";"Pagano (68)";28
"El Salvador";"Sarpi (69)";41
"El Salvador";"Ghisolfa (70)";91
"El Salvador";"Villapizzone - Cagnola - Boldinasco (71)";415
"El Salvador";"Maggiore - Musocco - Certosa (72)";39
"El Salvador";"Cascina Merlata (73)";7
"El Salvador";"Roserio (74)";2
"El Salvador";"Quarto Oggiaro - Vialba - Musocco (76)";217
"El Salvador";"Bovisa (77)";137
"El Salvador";"Farini (78)";16
"El Salvador";"Dergano (79)";218
"El Salvador";"Affori (80)";186
"El Salvador";"Bovisasca (81)";36
"El Salvador";"Comasina (82)";39
"El Salvador";"Bruzzano (83)";74
"El Salvador";"Parco Bosco in citta' (88)";6
"Giamaica";"Duomo (1)";1
"Giamaica";"Brera (2)";1
"Giamaica";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3
"Giamaica";"Lambrate - Ortica (23)";1
"Giamaica";"Umbria - Molise - Calvairate (28)";1
"Giamaica";"Vigentino - Q.re Fatima (38)";1
"Giamaica";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Giamaica";"Portello (67)";1
"Giamaica";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Giamaica";"Affori (80)";1
"Guatemala";"Duomo (1)";1
"Guatemala";"Porta Ticinese - Conca del Naviglio (6)";9
"Guatemala";"Stazione Centrale - Ponte Seveso (10)";1
"Guatemala";"Maciachini - Maggiolina (12)";1
"Guatemala";"Greco - Segnano (13)";1
"Guatemala";"Gorla - Precotto (16)";3
"Guatemala";"Padova - Turro - Crescenzago (19)";5
"Guatemala";"Loreto - Casoretto - NoLo (20)";2
"Guatemala";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2
"Guatemala";"Citta' studi (22)";2
"Guatemala";"Parco Forlanini - Cavriano (24)";1
"Guatemala";"XXII Marzo (26)";2
"Guatemala";"Lodi - Corvetto (35)";1
"Guatemala";"Vigentino - Q.re Fatima (38)";3
"Guatemala";"Ronchetto delle Rane (40)";4
"Guatemala";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Guatemala";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Guatemala";"Tibaldi (43)";3
"Guatemala";"Porta Ticinese - Conchetta (44)";2
"Guatemala";"Moncucco - San Cristoforo (45)";3
"Guatemala";"Giambellino (49)";4
"Guatemala";"Porta Magenta (51)";1
"Guatemala";"Bande Nere (52)";10
"Guatemala";"Forze Armate (56)";2
"Guatemala";"San Siro (57)";1
"Guatemala";"De Angeli - Monte Rosa (58)";1
"Guatemala";"Tre Torri (59)";2
"Guatemala";"Stadio - Ippodromi (60)";1
"Guatemala";"Quarto Cagnino (61)";2
"Guatemala";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Guatemala";"Pagano (68)";1
"Guatemala";"Sarpi (69)";1
"Guatemala";"Villapizzone - Cagnola - Boldinasco (71)";6
"Guatemala";"Dergano (79)";1
"Guatemala";"Bruzzano (83)";1
"Haiti";"Brera (2)";1
"Haiti";"Porta Garibaldi - Porta Nuova (9)";2
"Haiti";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Haiti";"Gorla - Precotto (16)";1
"Haiti";"Adriano (17)";1
"Haiti";"Padova - Turro - Crescenzago (19)";1
"Haiti";"Loreto - Casoretto - NoLo (20)";1
"Haiti";"Citta' studi (22)";2
"Haiti";"Vigentino - Q.re Fatima (38)";1
"Haiti";"Tibaldi (43)";1
"Haiti";"De Angeli - Monte Rosa (58)";1
"Haiti";"Sarpi (69)";3
"Haiti";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Haiti";"Dergano (79)";1
"Honduras";"Duomo (1)";2
"Honduras";"Brera (2)";1
"Honduras";"Guastalla (4)";2
"Honduras";"Porta Vigentina - Porta Lodovica (5)";2
"Honduras";"Porta Ticinese - Conca del Naviglio (6)";2
"Honduras";"Stazione Centrale - Ponte Seveso (10)";4
"Honduras";"Maciachini - Maggiolina (12)";4
"Honduras";"Greco - Segnano (13)";8
"Honduras";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";7
"Honduras";"Bicocca (15)";1
"Honduras";"Gorla - Precotto (16)";5
"Honduras";"Adriano (17)";1
"Honduras";"Cimiano - Rottole - Q.re Feltre (18)";3
"Honduras";"Padova - Turro - Crescenzago (19)";3
"Honduras";"Loreto - Casoretto - NoLo (20)";5
"Honduras";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3
"Honduras";"Citta' studi (22)";2
"Honduras";"Lambrate - Ortica (23)";1
"Honduras";"Corsica (25)";3
"Honduras";"XXII Marzo (26)";2
"Honduras";"Pta Romana (27)";1
"Honduras";"Umbria - Molise - Calvairate (28)";2
"Honduras";"Taliedo - Morsenchio - Q.re Forlanini (30)";2
"Honduras";"Monlue' - Ponte Lambro (31)";2
"Honduras";"Rogoredo - Santa Giulia (33)";1
"Honduras";"Lodi - Corvetto (35)";6
"Honduras";"Scalo Romana (36)";1
"Honduras";"Morivione (37)";1
"Honduras";"Vigentino - Q.re Fatima (38)";1
"Honduras";"Ronchetto delle Rane (40)";1
"Honduras";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Honduras";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Honduras";"Tibaldi (43)";1
"Honduras";"Porta Ticinese - Conchetta (44)";3
"Honduras";"Moncucco - San Cristoforo (45)";1
"Honduras";"Giambellino (49)";5
"Honduras";"Porta Genova (50)";1
"Honduras";"Porta Magenta (51)";2
"Honduras";"Bande Nere (52)";3
"Honduras";"Forze Armate (56)";9
"Honduras";"San Siro (57)";3
"Honduras";"De Angeli - Monte Rosa (58)";7
"Honduras";"Tre Torri (59)";1
"Honduras";"Stadio - Ippodromi (60)";1
"Honduras";"Quarto Cagnino (61)";2
"Honduras";"Quinto Romano (62)";1
"Honduras";"Figino (63)";1
"Honduras";"Trenno (64)";3
"Honduras";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";14
"Honduras";"QT 8 (66)";1
"Honduras";"Pagano (68)";1
"Honduras";"Sarpi (69)";3
"Honduras";"Ghisolfa (70)";4
"Honduras";"Villapizzone - Cagnola - Boldinasco (71)";10
"Honduras";"Maggiore - Musocco - Certosa (72)";6
"Honduras";"Quarto Oggiaro - Vialba - Musocco (76)";12
"Honduras";"Bovisa (77)";6
"Honduras";"Farini (78)";1
"Honduras";"Dergano (79)";4
"Honduras";"Affori (80)";5
"Honduras";"Bovisasca (81)";1
"Honduras";"Bruzzano (83)";1
"Messico";"Duomo (1)";11
"Messico";"Brera (2)";14
"Messico";"Guastalla (4)";10
"Messico";"Porta Vigentina - Porta Lodovica (5)";11
"Messico";"Porta Ticinese - Conca del Naviglio (6)";8
"Messico";"Magenta - S.Vittore (7)";11
"Messico";"Porta Garibaldi - Porta Nuova (9)";3
"Messico";"Stazione Centrale - Ponte Seveso (10)";20
"Messico";"Isola (11)";11
"Messico";"Maciachini - Maggiolina (12)";12
"Messico";"Greco - Segnano (13)";2
"Messico";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3
"Messico";"Bicocca (15)";2
"Messico";"Gorla - Precotto (16)";7
"Messico";"Adriano (17)";2
"Messico";"Cimiano - Rottole - Q.re Feltre (18)";7
"Messico";"Padova - Turro - Crescenzago (19)";7
"Messico";"Loreto - Casoretto - NoLo (20)";18
"Messico";"Buenos Aires - Porta Venezia - Porta Monforte (21)";42
"Messico";"Citta' studi (22)";21
"Messico";"Lambrate - Ortica (23)";5
"Messico";"Parco Forlanini - Cavriano (24)";2
"Messico";"Corsica (25)";8
"Messico";"XXII Marzo (26)";11
"Messico";"Pta Romana (27)";10
"Messico";"Umbria - Molise - Calvairate (28)";8
"Messico";"Ortomercato (29)";3
"Messico";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Messico";"Monlue' - Ponte Lambro (31)";1
"Messico";"Rogoredo - Santa Giulia (33)";1
"Messico";"Chiaravalle (34)";3
"Messico";"Lodi - Corvetto (35)";12
"Messico";"Scalo Romana (36)";4
"Messico";"Morivione (37)";1
"Messico";"Vigentino - Q.re Fatima (38)";16
"Messico";"Ronchetto delle Rane (40)";1
"Messico";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";5
"Messico";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";8
"Messico";"Tibaldi (43)";10
"Messico";"Porta Ticinese - Conchetta (44)";12
"Messico";"Moncucco - San Cristoforo (45)";6
"Messico";"Barona (46)";3
"Messico";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";5
"Messico";"Giambellino (49)";7
"Messico";"Porta Magenta (51)";14
"Messico";"Bande Nere (52)";15
"Messico";"Lorenteggio (53)";4
"Messico";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Messico";"Forze Armate (56)";3
"Messico";"San Siro (57)";12
"Messico";"De Angeli - Monte Rosa (58)";15
"Messico";"Tre Torri (59)";2
"Messico";"Stadio - Ippodromi (60)";4
"Messico";"Quarto Cagnino (61)";4
"Messico";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";6
"Messico";"QT 8 (66)";2
"Messico";"Portello (67)";6
"Messico";"Pagano (68)";5
"Messico";"Sarpi (69)";19
"Messico";"Ghisolfa (70)";6
"Messico";"Villapizzone - Cagnola - Boldinasco (71)";12
"Messico";"Maggiore - Musocco - Certosa (72)";1
"Messico";"Quarto Oggiaro - Vialba - Musocco (76)";4
"Messico";"Bovisa (77)";10
"Messico";"Farini (78)";2
"Messico";"Dergano (79)";8
"Messico";"Affori (80)";8
"Messico";"Bovisasca (81)";2
"Messico";"Comasina (82)";2
"Messico";"Bruzzano (83)";1
"Nicaragua";"Brera (2)";1
"Nicaragua";"Guastalla (4)";1
"Nicaragua";"Porta Ticinese - Conca del Naviglio (6)";1
"Nicaragua";"Isola (11)";2
"Nicaragua";"Greco - Segnano (13)";3
"Nicaragua";"Gorla - Precotto (16)";1
"Nicaragua";"Cimiano - Rottole - Q.re Feltre (18)";3
"Nicaragua";"Loreto - Casoretto - NoLo (20)";1
"Nicaragua";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Nicaragua";"Lambrate - Ortica (23)";1
"Nicaragua";"XXII Marzo (26)";5
"Nicaragua";"Umbria - Molise - Calvairate (28)";2
"Nicaragua";"Lodi - Corvetto (35)";1
"Nicaragua";"Scalo Romana (36)";3
"Nicaragua";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Nicaragua";"Barona (46)";1
"Nicaragua";"Giambellino (49)";1
"Nicaragua";"Porta Genova (50)";2
"Nicaragua";"Bande Nere (52)";1
"Nicaragua";"Lorenteggio (53)";1
"Nicaragua";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Nicaragua";"Forze Armate (56)";1
"Nicaragua";"San Siro (57)";1
"Nicaragua";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Nicaragua";"Ghisolfa (70)";1
"Nicaragua";"Villapizzone - Cagnola - Boldinasco (71)";9
"Nicaragua";"Maggiore - Musocco - Certosa (72)";1
"Nicaragua";"Quarto Oggiaro - Vialba - Musocco (76)";2
"Nicaragua";"Dergano (79)";1
"Nicaragua";"Affori (80)";1
"Panama";"Duomo (1)";1
"Panama";"Porta Vigentina - Porta Lodovica (5)";2
"Panama";"Magenta - S.Vittore (7)";1
"Panama";"Stazione Centrale - Ponte Seveso (10)";1
"Panama";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Panama";"Adriano (17)";1
"Panama";"Loreto - Casoretto - NoLo (20)";1
"Panama";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3
"Panama";"Lambrate - Ortica (23)";3
"Panama";"XXII Marzo (26)";2
"Panama";"Triulzo Superiore (32)";1
"Panama";"Morivione (37)";1
"Panama";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Panama";"Giambellino (49)";1
"Panama";"Porta Magenta (51)";1
"Panama";"Bande Nere (52)";2
"Panama";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3
"Panama";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Panama";"Affori (80)";1
"Panama";"Comasina (82)";2
"Saint Kitts e Nevis";"Magenta - S.Vittore (7)";2
"Saint Kitts e Nevis";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Saint Kitts e Nevis";"Porta Genova (50)";1
"Stati Uniti d'America";"Duomo (1)";70
"Stati Uniti d'America";"Brera (2)";112
"Stati Uniti d'America";"Giardini P.ta Venezia (3)";1
"Stati Uniti d'America";"Guastalla (4)";52
"Stati Uniti d'America";"Porta Vigentina - Porta Lodovica (5)";67
"Stati Uniti d'America";"Porta Ticinese - Conca del Naviglio (6)";50
"Stati Uniti d'America";"Magenta - S.Vittore (7)";82
"Stati Uniti d'America";"Porta Garibaldi - Porta Nuova (9)";20
"Stati Uniti d'America";"Stazione Centrale - Ponte Seveso (10)";36
"Stati Uniti d'America";"Isola (11)";44
"Stati Uniti d'America";"Maciachini - Maggiolina (12)";37
"Stati Uniti d'America";"Greco - Segnano (13)";4
"Stati Uniti d'America";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";17
"Stati Uniti d'America";"Bicocca (15)";11
"Stati Uniti d'America";"Gorla - Precotto (16)";13
"Stati Uniti d'America";"Adriano (17)";7
"Stati Uniti d'America";"Cimiano - Rottole - Q.re Feltre (18)";7
"Stati Uniti d'America";"Padova - Turro - Crescenzago (19)";13
"Stati Uniti d'America";"Loreto - Casoretto - NoLo (20)";31
"Stati Uniti d'America";"Buenos Aires - Porta Venezia - Porta Monforte (21)";145
"Stati Uniti d'America";"Citta' studi (22)";29
"Stati Uniti d'America";"Lambrate - Ortica (23)";10
"Stati Uniti d'America";"Corsica (25)";11
"Stati Uniti d'America";"XXII Marzo (26)";63
"Stati Uniti d'America";"Pta Romana (27)";67
"Stati Uniti d'America";"Umbria - Molise - Calvairate (28)";11
"Stati Uniti d'America";"Ortomercato (29)";2
"Stati Uniti d'America";"Taliedo - Morsenchio - Q.re Forlanini (30)";14
"Stati Uniti d'America";"Monlue' - Ponte Lambro (31)";1
"Stati Uniti d'America";"Rogoredo - Santa Giulia (33)";4
"Stati Uniti d'America";"Lodi - Corvetto (35)";17
"Stati Uniti d'America";"Scalo Romana (36)";16
"Stati Uniti d'America";"Morivione (37)";9
"Stati Uniti d'America";"Vigentino - Q.re Fatima (38)";16
"Stati Uniti d'America";"Ronchetto delle Rane (40)";1
"Stati Uniti d'America";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Stati Uniti d'America";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";16
"Stati Uniti d'America";"Tibaldi (43)";5
"Stati Uniti d'America";"Porta Ticinese - Conchetta (44)";42
"Stati Uniti d'America";"Moncucco - San Cristoforo (45)";7
"Stati Uniti d'America";"Barona (46)";4
"Stati Uniti d'America";"Cantalupa (47)";1
"Stati Uniti d'America";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";7
"Stati Uniti d'America";"Giambellino (49)";11
"Stati Uniti d'America";"Porta Genova (50)";24
"Stati Uniti d'America";"Porta Magenta (51)";41
"Stati Uniti d'America";"Bande Nere (52)";43
"Stati Uniti d'America";"Lorenteggio (53)";6
"Stati Uniti d'America";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";2
"Stati Uniti d'America";"Forze Armate (56)";6
"Stati Uniti d'America";"San Siro (57)";14
"Stati Uniti d'America";"De Angeli - Monte Rosa (58)";37
"Stati Uniti d'America";"Tre Torri (59)";6
"Stati Uniti d'America";"Stadio - Ippodromi (60)";29
"Stati Uniti d'America";"Quarto Cagnino (61)";7
"Stati Uniti d'America";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";8
"Stati Uniti d'America";"QT 8 (66)";4
"Stati Uniti d'America";"Portello (67)";7
"Stati Uniti d'America";"Pagano (68)";68
"Stati Uniti d'America";"Sarpi (69)";56
"Stati Uniti d'America";"Ghisolfa (70)";14
"Stati Uniti d'America";"Villapizzone - Cagnola - Boldinasco (71)";18
"Stati Uniti d'America";"Maggiore - Musocco - Certosa (72)";6
"Stati Uniti d'America";"Quarto Oggiaro - Vialba - Musocco (76)";6
"Stati Uniti d'America";"Bovisa (77)";9
"Stati Uniti d'America";"Farini (78)";3
"Stati Uniti d'America";"Dergano (79)";8
"Stati Uniti d'America";"Affori (80)";7
"Stati Uniti d'America";"Comasina (82)";2
"Stati Uniti d'America";"Bruzzano (83)";10
"Argentina";"Duomo (1)";14
"Argentina";"Brera (2)";19
"Argentina";"Guastalla (4)";3
"Argentina";"Porta Vigentina - Porta Lodovica (5)";4
"Argentina";"Porta Ticinese - Conca del Naviglio (6)";6
"Argentina";"Magenta - S.Vittore (7)";1
"Argentina";"Porta Garibaldi - Porta Nuova (9)";7
"Argentina";"Stazione Centrale - Ponte Seveso (10)";8
"Argentina";"Isola (11)";12
"Argentina";"Maciachini - Maggiolina (12)";8
"Argentina";"Greco - Segnano (13)";9
"Argentina";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";8
"Argentina";"Bicocca (15)";1
"Argentina";"Gorla - Precotto (16)";5
"Argentina";"Adriano (17)";11
"Argentina";"Cimiano - Rottole - Q.re Feltre (18)";3
"Argentina";"Padova - Turro - Crescenzago (19)";22
"Argentina";"Loreto - Casoretto - NoLo (20)";17
"Argentina";"Buenos Aires - Porta Venezia - Porta Monforte (21)";32
"Argentina";"Citta' studi (22)";17
"Argentina";"Lambrate - Ortica (23)";4
"Argentina";"Parco Forlanini - Cavriano (24)";1
"Argentina";"Corsica (25)";14
"Argentina";"XXII Marzo (26)";14
"Argentina";"Pta Romana (27)";12
"Argentina";"Umbria - Molise - Calvairate (28)";9
"Argentina";"Ortomercato (29)";2
"Argentina";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Argentina";"Monlue' - Ponte Lambro (31)";1
"Argentina";"Rogoredo - Santa Giulia (33)";5
"Argentina";"Lodi - Corvetto (35)";26
"Argentina";"Scalo Romana (36)";9
"Argentina";"Morivione (37)";8
"Argentina";"Vigentino - Q.re Fatima (38)";9
"Argentina";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";7
"Argentina";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";11
"Argentina";"Tibaldi (43)";4
"Argentina";"Porta Ticinese - Conchetta (44)";14
"Argentina";"Moncucco - San Cristoforo (45)";2
"Argentina";"Barona (46)";2
"Argentina";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";4
"Argentina";"Giambellino (49)";10
"Argentina";"Porta Genova (50)";6
"Argentina";"Porta Magenta (51)";10
"Argentina";"Bande Nere (52)";23
"Argentina";"Lorenteggio (53)";4
"Argentina";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";11
"Argentina";"Forze Armate (56)";8
"Argentina";"San Siro (57)";9
"Argentina";"De Angeli - Monte Rosa (58)";11
"Argentina";"Stadio - Ippodromi (60)";8
"Argentina";"Quarto Cagnino (61)";1
"Argentina";"Quinto Romano (62)";1
"Argentina";"Trenno (64)";4
"Argentina";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";4
"Argentina";"QT 8 (66)";2
"Argentina";"Portello (67)";3
"Argentina";"Pagano (68)";4
"Argentina";"Sarpi (69)";8
"Argentina";"Ghisolfa (70)";4
"Argentina";"Villapizzone - Cagnola - Boldinasco (71)";30
"Argentina";"Maggiore - Musocco - Certosa (72)";2
"Argentina";"Cascina Merlata (73)";1
"Argentina";"Roserio (74)";1
"Argentina";"Quarto Oggiaro - Vialba - Musocco (76)";11
"Argentina";"Bovisa (77)";7
"Argentina";"Farini (78)";3
"Argentina";"Dergano (79)";6
"Argentina";"Affori (80)";7
"Argentina";"Bovisasca (81)";5
"Argentina";"Comasina (82)";3
"Argentina";"Bruzzano (83)";5
"Bolivia";"Duomo (1)";16
"Bolivia";"Brera (2)";13
"Bolivia";"Guastalla (4)";13
"Bolivia";"Porta Vigentina - Porta Lodovica (5)";9
"Bolivia";"Porta Ticinese - Conca del Naviglio (6)";6
"Bolivia";"Magenta - S.Vittore (7)";9
"Bolivia";"Porta Garibaldi - Porta Nuova (9)";10
"Bolivia";"Stazione Centrale - Ponte Seveso (10)";23
"Bolivia";"Isola (11)";9
"Bolivia";"Maciachini - Maggiolina (12)";18
"Bolivia";"Greco - Segnano (13)";9
"Bolivia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";43
"Bolivia";"Bicocca (15)";3
"Bolivia";"Gorla - Precotto (16)";108
"Bolivia";"Adriano (17)";36
"Bolivia";"Cimiano - Rottole - Q.re Feltre (18)";67
"Bolivia";"Padova - Turro - Crescenzago (19)";191
"Bolivia";"Loreto - Casoretto - NoLo (20)";206
"Bolivia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";51
"Bolivia";"Citta' studi (22)";78
"Bolivia";"Lambrate - Ortica (23)";25
"Bolivia";"Corsica (25)";33
"Bolivia";"XXII Marzo (26)";10
"Bolivia";"Pta Romana (27)";11
"Bolivia";"Umbria - Molise - Calvairate (28)";25
"Bolivia";"Ortomercato (29)";6
"Bolivia";"Taliedo - Morsenchio - Q.re Forlanini (30)";40
"Bolivia";"Monlue' - Ponte Lambro (31)";24
"Bolivia";"Triulzo Superiore (32)";13
"Bolivia";"Rogoredo - Santa Giulia (33)";15
"Bolivia";"Lodi - Corvetto (35)";87
"Bolivia";"Scalo Romana (36)";24
"Bolivia";"Morivione (37)";10
"Bolivia";"Vigentino - Q.re Fatima (38)";2
"Bolivia";"Ronchetto delle Rane (40)";1
"Bolivia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";20
"Bolivia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";33
"Bolivia";"Tibaldi (43)";10
"Bolivia";"Porta Ticinese - Conchetta (44)";18
"Bolivia";"Moncucco - San Cristoforo (45)";18
"Bolivia";"Barona (46)";3
"Bolivia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";13
"Bolivia";"Giambellino (49)";45
"Bolivia";"Porta Genova (50)";4
"Bolivia";"Porta Magenta (51)";7
"Bolivia";"Bande Nere (52)";59
"Bolivia";"Lorenteggio (53)";7
"Bolivia";"Muggiano (54)";4
"Bolivia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";107
"Bolivia";"Forze Armate (56)";50
"Bolivia";"San Siro (57)";37
"Bolivia";"De Angeli - Monte Rosa (58)";15
"Bolivia";"Tre Torri (59)";1
"Bolivia";"Stadio - Ippodromi (60)";18
"Bolivia";"Quarto Cagnino (61)";1
"Bolivia";"Quinto Romano (62)";6
"Bolivia";"Figino (63)";3
"Bolivia";"Trenno (64)";3
"Bolivia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";27
"Bolivia";"QT 8 (66)";2
"Bolivia";"Portello (67)";11
"Bolivia";"Pagano (68)";6
"Bolivia";"Sarpi (69)";12
"Bolivia";"Ghisolfa (70)";12
"Bolivia";"Villapizzone - Cagnola - Boldinasco (71)";102
"Bolivia";"Maggiore - Musocco - Certosa (72)";7
"Bolivia";"Cascina Merlata (73)";1
"Bolivia";"Roserio (74)";1
"Bolivia";"Stephenson (75)";1
"Bolivia";"Quarto Oggiaro - Vialba - Musocco (76)";60
"Bolivia";"Bovisa (77)";24
"Bolivia";"Dergano (79)";46
"Bolivia";"Affori (80)";33
"Bolivia";"Bovisasca (81)";10
"Bolivia";"Comasina (82)";5
"Bolivia";"Bruzzano (83)";12
"Brasile";"Duomo (1)";42
"Brasile";"Brera (2)";48
"Brasile";"Guastalla (4)";29
"Brasile";"Porta Vigentina - Porta Lodovica (5)";38
"Brasile";"Porta Ticinese - Conca del Naviglio (6)";66
"Brasile";"Magenta - S.Vittore (7)";25
