"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Vigentino - Q.re Fatima (38)";"2009";123
"Vigentino - Q.re Fatima (38)";"2010";113
"Vigentino - Q.re Fatima (38)";"2011";125
"Vigentino - Q.re Fatima (38)";"2012";109
"Vigentino - Q.re Fatima (38)";"2013";114
"Vigentino - Q.re Fatima (38)";"2014";119
"Vigentino - Q.re Fatima (38)";"2015";108
"Vigentino - Q.re Fatima (38)";"2016";114
"Vigentino - Q.re Fatima (38)";"2017";114
"Vigentino - Q.re Fatima (38)";"2018";119
"Vigentino - Q.re Fatima (38)";"2019";120
"Vigentino - Q.re Fatima (38)";"2020";113
"Vigentino - Q.re Fatima (38)";"2021";124
"Vigentino - Q.re Fatima (38)";"2022";112
"Vigentino - Q.re Fatima (38)";"2023";85
"Quintosole (39)";"2003";4
"Quintosole (39)";"2004";5
"Quintosole (39)";"2005";4
"Quintosole (39)";"2006";3
"Quintosole (39)";"2007";6
"Quintosole (39)";"2008";3
"Quintosole (39)";"2009";4
"Quintosole (39)";"2010";5
"Quintosole (39)";"2011";8
"Quintosole (39)";"2012";2
"Quintosole (39)";"2013";7
"Quintosole (39)";"2014";2
"Quintosole (39)";"2015";3
"Quintosole (39)";"2017";1
"Quintosole (39)";"2018";2
"Quintosole (39)";"2019";3
"Quintosole (39)";"2021";1
"Quintosole (39)";"2022";1
"Quintosole (39)";"2023";3
"Ronchetto delle Rane (40)";"2003";8
"Ronchetto delle Rane (40)";"2004";10
"Ronchetto delle Rane (40)";"2005";8
"Ronchetto delle Rane (40)";"2006";6
"Ronchetto delle Rane (40)";"2007";7
"Ronchetto delle Rane (40)";"2008";9
"Ronchetto delle Rane (40)";"2009";5
"Ronchetto delle Rane (40)";"2010";9
"Ronchetto delle Rane (40)";"2011";6
"Ronchetto delle Rane (40)";"2012";6
"Ronchetto delle Rane (40)";"2013";5
"Ronchetto delle Rane (40)";"2014";5
"Ronchetto delle Rane (40)";"2015";2
"Ronchetto delle Rane (40)";"2016";2
"Ronchetto delle Rane (40)";"2017";3
"Ronchetto delle Rane (40)";"2018";2
"Ronchetto delle Rane (40)";"2019";4
"Ronchetto delle Rane (40)";"2020";5
"Ronchetto delle Rane (40)";"2021";4
"Ronchetto delle Rane (40)";"2022";3
"Ronchetto delle Rane (40)";"2023";5
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2003";118
"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";"2004";140
