tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA QUINTOSOLE;38;4357;20141;5;39;QUINTOSOLE;9.20341249047;45.4027063539;45.4027063539, 9.20341249047
VIA QUINTOSOLE;42/23;4357;20141;5;39;QUINTOSOLE;9.20126431141;45.4054928195;45.4054928195, 9.20126431141
VIA QUINTOSOLE;46;4357;20141;5;39;QUINTOSOLE;9.20235411607;45.4021539462;45.4021539462, 9.20235411607
VIA CAMPORGNAGO;38;4358;20141;5;39;QUINTOSOLE;9.20586986248;45.3998710369;45.3998710369, 9.20586986248
VIA CAMPORGNAGO;40;4358;20141;5;39;QUINTOSOLE;9.20592014208;45.3985262744;45.3985262744, 9.20592014208
VIA ROGOREDO;128;4373;20138;4;32;TRIULZO SUPERIORE;9.25226618681;45.4248271709;45.4248271709, 9.25226618681
VIA ROGOREDO;142;4373;20138;4;32;TRIULZO SUPERIORE;9.24948752966;45.4234273615;45.4234273615, 9.24948752966
VIA ARIALDO (SANT');69;4375;20141;5;85;Parco delle Abbazie;9.22412250077;45.4101890368;45.4101890368, 9.22412250077
VIA ARIALDO (SANT');90;4375;20139;5;85;Parco delle Abbazie;9.23303899322;45.414632823;45.414632823, 9.23303899322
VIA ARIALDO (SANT');91;4375;20139;5;85;Parco delle Abbazie;9.23272859834;45.4145865313;45.4145865313, 9.23272859834
VIA ARIALDO (SANT');129;4375;20139;5;85;Parco delle Abbazie;9.23674357718;45.4191894367;45.4191894367, 9.23674357718
VIA ARIALDO (SANT');131;4375;20139;5;85;Parco delle Abbazie;9.2328528587;45.4194252679;45.4194252679, 9.2328528587
VIA ARIALDO (SANT');133;4375;20139;5;85;Parco delle Abbazie;9.23289521606;45.4191102799;45.4191102799, 9.23289521606
VIA MARE (DEL);30;5318;20142;6;47;CANTALUPA;9.15977967321;45.4243290258;45.4243290258, 9.15977967321
VIA MARE (DEL);31;5318;20142;5;47;CANTALUPA;9.16059325939;45.4240760123;45.4240760123, 9.16059325939
VIA MARE (DEL);32;5318;20142;6;47;CANTALUPA;9.1595499147;45.4239219529;45.4239219529, 9.1595499147
VIA MARE (DEL);33;5318;20142;5;47;CANTALUPA;9.16037917379;45.4237226169;45.4237226169, 9.16037917379
VIA MARE (DEL);34;5318;20142;6;47;CANTALUPA;9.15508532906;45.4192177871;45.4192177871, 9.15508532906
VIA MARE (DEL);35;5318;20142;5;47;CANTALUPA;9.1587902975;45.4211004946;45.4211004946, 9.1587902975
VIA MARE (DEL);98;5318;20142;6;86;Parco dei Navigli;9.15283763013;45.4162018395;45.4162018395, 9.15283763013
VIA CHIESA ROSSA (DELLA);265;5321;20142;5;41;GRATOSOGLIO - TICINELLO;9.16456524846;45.4115447285;45.4115447285, 9.16456524846
VIA CHIESA ROSSA (DELLA);351;5321;20142;5;41;GRATOSOGLIO - TICINELLO;9.16188199867;45.4063714709;45.4063714709, 9.16188199867
VIA CHIESA ROSSA (DELLA);379;5321;20142;5;41;GRATOSOGLIO - TICINELLO;9.15740798521;45.4045294995;45.4045294995, 9.15740798521
VIA CHIESA ROSSA (DELLA);383;5321;20142;5;41;GRATOSOGLIO - TICINELLO;9.15727240788;45.4043111386;45.4043111386, 9.15727240788
VIA MISSAGLIA (DEI);57B;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.17951574085;45.4216750725;45.4216750725, 9.17951574085
VIA MISSAGLIA (DEI);57C;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.18033762028;45.4216601073;45.4216601073, 9.18033762028
VIA MISSAGLIA (DEI);131/11;5340;20142;5;41;GRATOSOGLIO - TICINELLO;9.1771501066;45.4064667766;45.4064667766, 9.1771501066
