id_amat;stato;via_id;via_tipo;via_nome;num_civico;municipio;veicoli;tipo_man;nmanufatti;stalli_man;stalli_totali;ubicazione;LONG_X_4326;LAT_Y_4326;Location
"2179";Esistente;"2597";Via;Via Luigi Caroli;"12";"2";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"4";"2";"8";Marciapiede;9.23840874109611;45.5084979805586;"(45.5084979805586, 9.23840874109611)"
"2186";Esistente;"1055";Piazza;Piazza della Repubblica;"14";"2";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"12";"12";Marciapiede;9.19825821436059;45.4783236058706;"(45.4783236058706, 9.19825821436059)"
"2187";Esistente;"1055";Piazza;Piazza della Repubblica;"18";"2";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"15";"15";Marciapiede;9.19843999552037;45.4784878275714;"(45.4784878275714, 9.19843999552037)"
"2190";Esistente;"139";Via;Via Borgonuovo;"15";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"12";"12";Alla quota della carreggiata;9.19001380419103;45.4720907434452;"(45.4720907434452, 9.19001380419103)"
"2193";Esistente;"139";Via;Via Borgonuovo;"23";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"13";"13";Alla quota della carreggiata;9.18975674445717;45.4723558502306;"(45.4723558502306, 9.18975674445717)"
"2195";Esistente;"139";Via;Via Borgonuovo;"20";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"25";"25";Alla quota della carreggiata;9.1900511553441;45.4721106265869;"(45.4721106265869, 9.1900511553441)"
"2197";Esistente;"2185";Via;Via Borghetto;"10";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"6";"6";Marciapiede;9.20501381237049;45.472549085786;"(45.472549085786, 9.20501381237049)"
"2198";Esistente;"1046";Via;Via Sandro Sandri;;"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"12";"12";Alla quota della carreggiata;9.19250742902277;45.4751233825731;"(45.4751233825731, 9.19250742902277)"
"2199";Esistente;"5188";Via;Via Santa Croce;"5";"1";Velocipedi;Parigina;"2";"3";"6";Area pedonale (regolamentata o di fatto);9.18320981427941;45.4548241881631;"(45.4548241881631, 9.18320981427941)"
"2200";Esistente;"5188";Via;Via Santa Croce;"10";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"10";"10";Marciapiede;9.18384873096141;45.4557640114068;"(45.4557640114068, 9.18384873096141)"
"2201";Esistente;"630";Via;Via Santa Maria Fulcorina;"9";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"9";"9";Alla quota della carreggiata;9.18330470006508;45.463978004652;"(45.463978004652, 9.18330470006508)"
"2202";Esistente;"630";Via;Via Santa Maria Fulcorina;"9";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"6";"2";"12";Alla quota della carreggiata;9.18330348546729;45.4639771863896;"(45.4639771863896, 9.18330348546729)"
"2218";Esistente;"1029";Via;Via Statuto;"18";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"13";"13";Alla quota della carreggiata;9.18491996125002;45.4774387121678;"(45.4774387121678, 9.18491996125002)"
"2229";Esistente;"1100";Via;Via Tommaso da Cazzaniga;"6";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"6";"6";Alla quota della carreggiata;9.18299142819366;45.4763554738612;"(45.4763554738612, 9.18299142819366)"
"2230";Esistente;"345";Piazzetta;Piazzetta Umberto Giordano;;"1";Velocipedi;0_Solo segnaletica;"1";"10";"10";Alla quota della carreggiata;9.19868642101539;45.4661080500447;"(45.4661080500447, 9.19868642101539)"
"2231";Esistente;"345";Piazzetta;Piazzetta Umberto Giordano;;"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"11";"11";Alla quota della carreggiata;9.1988853211375;45.4661417784861;"(45.4661417784861, 9.1988853211375)"
"2232";Esistente;"345";Piazzetta;Piazzetta Umberto Giordano;"2";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"10";"10";Alla quota della carreggiata;9.19885674415495;45.4665060058358;"(45.4665060058358, 9.19885674415495)"
"2233";Esistente;"345";Piazzetta;Piazzetta Umberto Giordano;"2";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"8";"8";Alla quota della carreggiata;9.19893585964997;45.4664744745994;"(45.4664744745994, 9.19893585964997)"
"2235";Esistente;"353";Piazza;Piazza San Nazaro in Brolo;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"10";"10";Alla quota della carreggiata;9.19254316079066;45.4582789464222;"(45.4582789464222, 9.19254316079066)"
"2236";Esistente;"567";Piazza;Piazza San Sepolcro;"2";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"14";"14";Alla quota della carreggiata;9.18489430617612;45.4630079019666;"(45.4630079019666, 9.18489430617612)"
"2237";Esistente;"210";Via;Via Adalberto Catena;;"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"32";"32";Marciapiede;9.19227791347457;45.4670692559618;"(45.4670692559618, 9.19227791347457)"
"2241";Esistente;"530";Piazza;Piazza Sant'Alessandro;"1";"1";Velocipedi;0_Non precisato;"3";"5";"15";Alla quota della carreggiata;9.18649684296852;45.4611471237146;"(45.4611471237146, 9.18649684296852)"
"2242";Esistente;"230";Via;Via Alessandro Manzoni;"45";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"6";"6";Alla quota della carreggiata;9.19469974898254;45.4719931395999;"(45.4719931395999, 9.19469974898254)"
"2243";Esistente;"230";Via;Via Alessandro Manzoni;"43";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"20";"20";Alla quota della carreggiata;9.19451953247486;45.4718405291124;"(45.4718405291124, 9.19451953247486)"
"2246";Esistente;"6272";Viale;Viale Ergisto Bezzi;"73";"7";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Marciapiede;9.14889527144257;45.4620312511732;"(45.4620312511732, 9.14889527144257)"
"2247";Esistente;"1050";Via;Via Andrea Appiani;"7";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"22";"22";Alla quota della carreggiata;9.19386240115331;45.4770416814322;"(45.4770416814322, 9.19386240115331)"
"2248";Esistente;"1050";Via;Via Andrea Appiani;"2";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"11";"11";Alla quota della carreggiata;9.19380673669947;45.4763639550308;"(45.4763639550308, 9.19380673669947)"
"2249";Esistente;"6272";Viale;Viale Ergisto Bezzi;"71";"7";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Marciapiede;9.14882700477638;45.4621577358072;"(45.4621577358072, 9.14882700477638)"
"2250";Esistente;"1012";Via;Via Anfiteatro;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Alla quota della carreggiata;9.18309514458632;45.474108806267;"(45.474108806267, 9.18309514458632)"
"2251";Esistente;"1012";Via;Via Anfiteatro;"5";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"8";"8";Alla quota della carreggiata;9.18295502379803;45.4742047228906;"(45.4742047228906, 9.18295502379803)"
"2253";Esistente;"638";Via;Via Bernardino Luini;"9";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Alla quota della carreggiata;9.17931131644043;45.4641423400836;"(45.4641423400836, 9.17931131644043)"
"2254";Esistente;"2175";Via;Via Tommaso Salvini;;"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"15";"15";Alla quota della carreggiata;9.20347585351938;45.471842005862;"(45.471842005862, 9.20347585351938)"
"2263";Esistente;"1065";Piazza;Piazza Sant'Angelo;"1";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"11";"11";Alla quota della carreggiata;9.19175091327083;45.4761330690281;"(45.4761330690281, 9.19175091327083)"
"2264";Esistente;"514";Piazza;Piazza Santa Maria Beltrade;"1";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Alla quota della carreggiata;9.18645114038174;45.462859372083;"(45.462859372083, 9.18645114038174)"
"2265";Esistente;"354";Piazza;Piazza Santo Stefano;"6";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"5";"5";Alla quota della carreggiata;9.19446912780013;45.4623194224261;"(45.4623194224261, 9.19446912780013)"
"2266";Esistente;"628";Piazza;Piazza Tommaso Edison;"3";"1";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"15";"15";Alla quota della carreggiata;9.18442726394757;45.4642740753245;"(45.4642740753245, 9.18442726394757)"
"2268";Esistente;"5425";Via;Via San Paolino;"18";"6";Velocipedi;Archetto Milano _ Acciaio inox _ Passo cm 50;"12";"1";"12";Marciapiede;9.16280065926265;45.43080546803;"(45.43080546803, 9.16280065926265)"
"2269";Esistente;"7515";Via;Via Antonio Cechov;"33";"8";Velocipedi;Verona _ Ambrogio;"2";"5";"10";Marciapiede;9.11441224358786;45.4950559524536;"(45.4950559524536, 9.11441224358786)"
"2270";Esistente;"7515";Via;Via Antonio Cechov;"33";"8";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";0_Solo segnaletica;"1";"50";"50";Marciapiede;9.11464603976245;45.495289290363;"(45.495289290363, 9.11464603976245)"
