"NIL (Nuclei di Identità Locale)";"Classe di superficie";"Abitazioni"
"Tre Torri (59)";"90 mq. e più";466,191688597202
"Stadio - Ippodromi (60)";"Fino a 59 mq.";730,400607585907
"Stadio - Ippodromi (60)";"60-89 mq.";1235,57144415379
"Stadio - Ippodromi (60)";"90 mq. e più";3100,36081647873
"Quarto Cagnino (61)";"Fino a 59 mq.";805,279283642769
"Quarto Cagnino (61)";"60-89 mq.";1436,01436012983
"Quarto Cagnino (61)";"90 mq. e più";1857,21928215027
"Quinto Romano (62)";"Fino a 59 mq.";599,253284931183
"Quinto Romano (62)";"60-89 mq.";928,917594790459
"Quinto Romano (62)";"90 mq. e più";475,726086318493
"Figino (63)";"Fino a 59 mq.";238,614630222321
"Figino (63)";"60-89 mq.";263,029059112072
"Figino (63)";"90 mq. e più";207,248370528221
"Trenno (64)";"Fino a 59 mq.";350,113868951797
"Trenno (64)";"60-89 mq.";834,12215077877
"Trenno (64)";"90 mq. e più";551,885987341404
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"Fino a 59 mq.";2244,64332675934
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"60-89 mq.";9139,47575962543
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"90 mq. e più";3269,88097685575
"QT 8 (66)";"Fino a 59 mq.";207,912544369698
"QT 8 (66)";"60-89 mq.";817,51303255558
"QT 8 (66)";"90 mq. e più";813,260235667229
"Portello (67)";"Fino a 59 mq.";590,090016245842
"Portello (67)";"60-89 mq.";1116,74998760223
"Portello (67)";"90 mq. e più";1834,55920630693
"Pagano (68)";"Fino a 59 mq.";818,676780700684
"Pagano (68)";"60-89 mq.";1493,57353365421
"Pagano (68)";"90 mq. e più";5013,74970430136
"Sarpi (69)";"Fino a 59 mq.";3794,4946937561
"Sarpi (69)";"60-89 mq.";4645,90136897564
"Sarpi (69)";"90 mq. e più";5297,60387545824
"Ghisolfa (70)";"Fino a 59 mq.";2340,03920960426
"Ghisolfa (70)";"60-89 mq.";2977,81225329638
"Ghisolfa (70)";"90 mq. e più";2701,14857465029
"Villapizzone - Cagnola - Boldinasco (71)";"Fino a 59 mq.";6556,02282765508
"Villapizzone - Cagnola - Boldinasco (71)";"60-89 mq.";6698,74115914106
"Villapizzone - Cagnola - Boldinasco (71)";"90 mq. e più";3950,23592978716
"Maggiore - Musocco - Certosa (72)";"Fino a 59 mq.";575,62756216526
"Maggiore - Musocco - Certosa (72)";"60-89 mq.";887,571233093739
"Maggiore - Musocco - Certosa (72)";"90 mq. e più";748,755860626698
"Cascina Merlata (73)";"Fino a 59 mq.";1,00373375415802
"Cascina Merlata (73)";"60-89 mq.";4,01995885372162
"Cascina Merlata (73)";"90 mq. e più";16,7854523658752
"Roserio (74)";"Fino a 59 mq.";9,05217456817627
"Roserio (74)";"60-89 mq.";24,0985713005066
"Roserio (74)";"90 mq. e più";51,9088574051857
"Stephenson (75)";"60-89 mq.";8,97370028495789
"Stephenson (75)";"90 mq. e più";6,2253315448761
"Quarto Oggiaro - Vialba - Musocco (76)";"Fino a 59 mq.";4557,29369616508
"Quarto Oggiaro - Vialba - Musocco (76)";"60-89 mq.";5917,56432294846
"Quarto Oggiaro - Vialba - Musocco (76)";"90 mq. e più";2589,14197719097
"Bovisa (77)";"Fino a 59 mq.";2361,02285540104
"Bovisa (77)";"60-89 mq.";2206,4049166441
"Bovisa (77)";"90 mq. e più";1116,24175056815
"Farini (78)";"Fino a 59 mq.";557,044085144997
"Farini (78)";"60-89 mq.";731,770783305168
"Farini (78)";"90 mq. e più";341,615273892879
"Dergano (79)";"Fino a 59 mq.";3603,64836454391
"Dergano (79)";"60-89 mq.";3544,47743535042
"Dergano (79)";"90 mq. e più";2131,87420099974
"Affori (80)";"Fino a 59 mq.";3464,03601896763
"Affori (80)";"60-89 mq.";3913,37148666382
"Affori (80)";"90 mq. e più";2610,59251779318
"Bovisasca (81)";"Fino a 59 mq.";475,374051451683
"Bovisasca (81)";"60-89 mq.";1504,42190539837
"Bovisasca (81)";"90 mq. e più";899,266462445259
"Comasina (82)";"Fino a 59 mq.";1117,04560244083
"Comasina (82)";"60-89 mq.";2157,93079906702
"Comasina (82)";"90 mq. e più";643,294222652912
"Bruzzano (83)";"Fino a 59 mq.";1726,42068684101
"Bruzzano (83)";"60-89 mq.";2048,26537072659
"Bruzzano (83)";"90 mq. e più";1279,06932651997
"Parco Nord (84)";"Fino a 59 mq.";2,95239400863647
"Parco Nord (84)";"60-89 mq.";16,0250569581985
"Parco Nord (84)";"90 mq. e più";18,1902649402618
"Parco delle Abbazie (85)";"Fino a 59 mq.";50,2893530130386
"Parco delle Abbazie (85)";"60-89 mq.";28,1302487254143
"Parco delle Abbazie (85)";"90 mq. e più";29,5478920340538
"Parco dei Navigli (86)";"Fino a 59 mq.";60,2867470979691
"Parco dei Navigli (86)";"60-89 mq.";29,590391933918
"Parco dei Navigli (86)";"90 mq. e più";30,8213445544243
"Assiano (87)";"Fino a 59 mq.";16,0432586669922
"Assiano (87)";"60-89 mq.";34,998707473278
"Assiano (87)";"90 mq. e più";31,6785683631897
"Parco Bosco in citta' (88)";"Fino a 59 mq.";57,0052626132965
"Parco Bosco in citta' (88)";"60-89 mq.";53,556210398674
"Parco Bosco in citta' (88)";"90 mq. e più";72,1665278673172
