"NIL (Nuclei di Identità Locale)";"Numero di residenti";"Abitazioni"
"Forze Armate (56)";"2 residenti";3294,28256654739
"Forze Armate (56)";"3 residenti";1822,15281164646
"Forze Armate (56)";"4 residenti";1067,8056203723
"Forze Armate (56)";"5 o più residenti";391,276728510857
"San Siro (57)";"1 residente";5921,84357219934
"San Siro (57)";"2 residenti";3225,29253125191
"San Siro (57)";"3 residenti";1528,10099577904
"San Siro (57)";"4 residenti";898,635299801826
"San Siro (57)";"5 o più residenti";441,127627372742
"De Angeli - Monte Rosa (58)";"1 residente";4235,70932543278
"De Angeli - Monte Rosa (58)";"2 residenti";2642,08495163918
"De Angeli - Monte Rosa (58)";"3 residenti";1394,55623447895
"De Angeli - Monte Rosa (58)";"4 residenti";919,359125494957
"De Angeli - Monte Rosa (58)";"5 o più residenti";263,290371954441
"Tre Torri (59)";"1 residente";199,297273695469
"Tre Torri (59)";"2 residenti";191,258023798466
"Tre Torri (59)";"3 residenti";129,306157708168
"Tre Torri (59)";"4 residenti";71,4491968154907
"Tre Torri (59)";"5 o più residenti";18,1050355434418
"Stadio - Ippodromi (60)";"1 residente";1720,10269224644
"Stadio - Ippodromi (60)";"2 residenti";1510,599606812
"Stadio - Ippodromi (60)";"3 residenti";846,339399337769
"Stadio - Ippodromi (60)";"4 residenti";675,852998197079
"Stadio - Ippodromi (60)";"5 o più residenti";313,438171625137
"Quarto Cagnino (61)";"1 residente";1329,07718408108
"Quarto Cagnino (61)";"2 residenti";1291,87019497156
"Quarto Cagnino (61)";"3 residenti";774,111413896084
"Quarto Cagnino (61)";"4 residenti";553,330129265785
"Quarto Cagnino (61)";"5 o più residenti";150,124003708363
"Quinto Romano (62)";"1 residente";647,392542421818
"Quinto Romano (62)";"2 residenti";570,181743204594
"Quinto Romano (62)";"3 residenti";436,807707190514
"Quinto Romano (62)";"4 residenti";274,345109343529
"Quinto Romano (62)";"5 o più residenti";75,1698638796806
"Figino (63)";"1 residente";255,02835893631
"Figino (63)";"2 residenti";181,729648590088
"Figino (63)";"3 residenti";149,657163023949
"Figino (63)";"4 residenti";98,5603392720222
"Figino (63)";"5 o più residenti";23,9165500402451
"Trenno (64)";"1 residente";497,821012496948
"Trenno (64)";"2 residenti";619,719272017479
"Trenno (64)";"3 residenti";326,408577442169
"Trenno (64)";"4 residenti";250,565173447132
"Trenno (64)";"5 o più residenti";41,6079716682434
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"1 residente";4683,07480162382
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"2 residenti";5468,19104522467
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"3 residenti";2503,37457150221
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"4 residenti";1549,15548241138
"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";"5 o più residenti";450,204162478447
"QT 8 (66)";"1 residente";790,50568395853
"QT 8 (66)";"2 residenti";535,446591198444
"QT 8 (66)";"3 residenti";291,791207909584
"QT 8 (66)";"4 residenti";148,56067186594
"QT 8 (66)";"5 o più residenti";72,3816576600075
"Portello (67)";"1 residente";1512,95759505033
"Portello (67)";"2 residenti";1068,23125690222
"Portello (67)";"3 residenti";565,808804154396
"Portello (67)";"4 residenti";310,06242954731
"Portello (67)";"5 o più residenti";84,3391245007515
"Pagano (68)";"1 residente";2918,97888922691
"Pagano (68)";"2 residenti";1987,92224091291
"Pagano (68)";"3 residenti";1113,98937696218
"Pagano (68)";"4 residenti";1014,05400806665
"Pagano (68)";"5 o più residenti";291,055503487587
"Sarpi (69)";"1 residente";6416,71148729324
"Sarpi (69)";"2 residenti";3709,01478219032
"Sarpi (69)";"3 residenti";1975,10743582249
"Sarpi (69)";"4 residenti";1265,52575755119
"Sarpi (69)";"5 o più residenti";371,640475332737
"Ghisolfa (70)";"1 residente";3651,87591964006
"Ghisolfa (70)";"2 residenti";2214,50310003757
"Ghisolfa (70)";"3 residenti";1186,11854761839
"Ghisolfa (70)";"4 residenti";785,724626541138
"Ghisolfa (70)";"5 o più residenti";180,77784371376
"Villapizzone - Cagnola - Boldinasco (71)";"1 residente";7533,78199392557
"Villapizzone - Cagnola - Boldinasco (71)";"2 residenti";4529,7794598937
"Villapizzone - Cagnola - Boldinasco (71)";"3 residenti";2808,39026123285
"Villapizzone - Cagnola - Boldinasco (71)";"4 residenti";1659,93683868647
"Villapizzone - Cagnola - Boldinasco (71)";"5 o più residenti";673,111362844706
"Maggiore - Musocco - Certosa (72)";"1 residente";832,328205525875
"Maggiore - Musocco - Certosa (72)";"2 residenti";746,738884568214
"Maggiore - Musocco - Certosa (72)";"3 residenti";375,710079073906
"Maggiore - Musocco - Certosa (72)";"4 residenti";213,628560841084
"Maggiore - Musocco - Certosa (72)";"5 o più residenti";43,5489258766174
"Cascina Merlata (73)";"1 residente";4,95325195789337
"Cascina Merlata (73)";"2 residenti";5,99471795558929
"Cascina Merlata (73)";"3 residenti";2,96213865280151
"Cascina Merlata (73)";"4 residenti";5,92427730560303
"Cascina Merlata (73)";"5 o più residenti";1,97475910186768
"Roserio (74)";"1 residente";12,9342392086983
"Roserio (74)";"2 residenti";39,4489133358002
"Roserio (74)";"3 residenti";17,9281237125397
"Roserio (74)";"4 residenti";14,7483270168304
"Stephenson (75)";"2 residenti";12,2569806575775
"Stephenson (75)";"5 o più residenti";2,94205117225647
"Quarto Oggiaro - Vialba - Musocco (76)";"1 residente";4515,24014979601
"Quarto Oggiaro - Vialba - Musocco (76)";"2 residenti";3903,97232598066
"Quarto Oggiaro - Vialba - Musocco (76)";"3 residenti";2380,27715671062
"Quarto Oggiaro - Vialba - Musocco (76)";"4 residenti";1647,4375269413
"Quarto Oggiaro - Vialba - Musocco (76)";"5 o più residenti";617,072836875916
"Bovisa (77)";"1 residente";2694,90390193462
"Bovisa (77)";"2 residenti";1404,97191858292
"Bovisa (77)";"3 residenti";872,798605799675
"Bovisa (77)";"4 residenti";546,630775570869
"Bovisa (77)";"5 o più residenti";164,364320725203
"Farini (78)";"1 residente";793,837667405605
"Farini (78)";"2 residenti";397,909163236618
"Farini (78)";"3 residenti";293,370282411575
"Farini (78)";"4 residenti";96,2441123127937
"Farini (78)";"5 o più residenti";49,0689169764519
"Dergano (79)";"1 residente";4106,32492315769
"Dergano (79)";"2 residenti";2368,65827864408
"Dergano (79)";"3 residenti";1468,20547324419
"Dergano (79)";"4 residenti";947,255090713501
"Dergano (79)";"5 o più residenti";389,556235134602
"Affori (80)";"1 residente";3989,27970582247
"Affori (80)";"2 residenti";2814,56960493326
"Affori (80)";"3 residenti";1670,78294324875
"Affori (80)";"4 residenti";1163,12043935061
"Affori (80)";"5 o più residenti";350,247330069542
"Bovisasca (81)";"1 residente";883,156340539455
"Bovisasca (81)";"2 residenti";975,487907171249
"Bovisasca (81)";"3 residenti";520,131559073925
"Bovisasca (81)";"4 residenti";351,128322541714
"Bovisasca (81)";"5 o più residenti";149,158289968967
"Comasina (82)";"1 residente";1376,79811149836
"Comasina (82)";"2 residenti";1167,02804106474
"Comasina (82)";"3 residenti";667,380507826805
