Municipio;NIL;Anno Ritiro;Descr Titolo Abilitativo;Numero Abitazioni;Numero Stanze;Numero Vani Accessori Interni;Numero Piani;Volume Totale V/p;Superficie Utile Abitabile;Superficie Accessori Esterni;Superficie Agricoltura;Superficie Attivita' Produttive;Superficie Commercio;Superficie Servizi;Specifica Altra Attivita';Descr_Titolare Titolo Costruire;Consumo Energetico;Rapporto Forma;Fotovoltaico;Solare Termico;Pompe Calore;Caldaia A Condensazione;Geotermico;Nessun Impianto Tra I Citati;PianoCasa
5;;2013;DIA;21;56;58;6;3897;1205;531;0;0;0;0;;Persona Fisica;;0;;;;;;;
5;;2012;DIA;12;33;32;7;5376;697;955;0;0;0;0;;Persona Fisica;45;0,6;SI;SI;;SI;;;
5;;2013;DIA;20;50;53;5;20250;1210;780;0;0;0;0;;Altro;17;0,56;SI;;SI;SI;;;
5;;2013;Permesso di Costruire;8;20;19;6;2385;515;920;0;0;0;0;;Altro;24;0,05;;SI;;SI;;;
5;;2012;DIA;25;49;59;5;4984;1156;690;0;0;0;0;;Impresa;;0;;;;;;;
5;Scalo Romana;2013;Permesso di Costruire;10;22;52;4;4051;590;474;0;0;0;0;;Altro;;0;SI;SI;;;SI;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
5;Scalo Romana;2013;DIA;20;41;46;6;5571;876;1927;0;0;0;0;;Altro;42;0,46;SI;;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
5;Scalo Romana;2012;DIA;49;104;122;5;12675;2795;1200;0;0;0;0;UFFICI;Cooperativa Edilizia;23;0,43;SI;;;;;;
5;;2011;DIA;16;43;60;8;5324;940;1480;0;0;0;0;;Altro;166;0,54;;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
5;;2013;Permesso di Costruire;38;90;106;7;13824;1938;5178;0;0;0;0;;Impresa;15;0,4;SI;;SI;;SI;;
5;;2012;Permesso di Costruire;22;76;64;3;9750;1660;2786;0;0;0;0;;Altro;;0,49;;SI;;;;;
5;;2011;Permesso di Costruire;94;238;210;5;35600;4824;4531;0;0;0;0;;Altro;;0;;;;;SI;;
5;;2013;Permesso di Costruire;50;179;169;5;31990;3441;6748;0;0;0;0;;Cooperativa Edilizia;24;0,45;;;SI;SI;;;
5;;2011;Permesso di Costruire;78;210;186;6;29625;4107;3705;0;0;0;0;;Altro;;0;;;;;SI;;
5;;2011;DIA;4;8;8;2;1155;238;0;0;0;0;0;;Altro;71;0,68;;SI;;;;;
6;;2013;DIA;5;;;3;5300;747;2365;0;485;523;0;;Impresa;11;0,99;SI;;;;SI;;
6;;2013;DIA;15;28;44;8;2541;807;192;0;0;0;0;;Impresa;27;0,59;SI;SI;;SI;;;
6;;2013;DIA;22;65;43;4;6318;1974;1264;0;0;0;0;;Impresa;25;0,55;;;SI;;;;Piano nazionale di edilizia abitativa (Dl. 112/2008 e delibera CIPE 8-5-2009)
6;Barona;2013;Permesso di Costruire;103;271;263;8;19191;5706;3203;0;0;0;0;;Impresa;39;0,5;;;;;;SI;Piano nazionale di edilizia abitativa (Dl. 112/2008 e delibera CIPE 8-5-2009)
6;Barona;2013;Permesso di Costruire;113;270;292;8;18000;5500;3481;0;0;0;340;;Impresa;39;0,05;;;;;;SI;
6;;2013;DIA;13;40;48;5;6724;983;3218;0;0;0;0;;Altro;165;0,51;SI;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
6;;2011;DIA;11;41;60;6;10494;826;2672;0;0;0;0;;Altro;36;0,57;;SI;;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
6;;2011;DIA;21;88;60;6;19374;2104;4354;0;0;0;0;;Altro;32;0,44;;SI;;SI;;;
6;Bande Nere;2011;DIA;108;436;108;13;50000;9969;8298;0;0;0;0;;Impresa;;0;;;;;;;
6;Lorenteggio;2012;DIA;8;35;25;5;3513;631;1175;0;0;0;0;;Impresa;43;0,6;;;SI;;;;
